tsne_1,tsne_2,label,name,type
6.0718455,-0.89015305,6,O=C1CC(C(F)(F)F)(C(F)(F)F)O1,main
-20.854427,-0.57920325,0,FC(F)(F)COc1ccccc1,main
3.4482546,1.4378068,1,C[Si]1(C)O[Si](C)(C)O[Si]2(O1)O[Si](C)(C)O[Si](C)(C)O2,main
-21.489328,3.8254848,0,FC(F)(F)COc1ccc(C(F)(F)F)cc1C(F)(F)F,main
8.192028,-5.7191772,6,O=C1OCC(COCC(F)(F)C(F)(F)C(F)(F)F)O1,main
14.848432,0.36597762,2,CCOC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
-21.271257,0.7768281,0,COCc1ccc(C(F)(F)F)cc1C,main
-21.814236,-1.3372349,0,FCCOc1ccc(F)c(F)c1,main
-25.342089,-0.8902023,0,FCCOc1cc(F)ccc1F,main
-22.246006,-0.45811188,0,Fc1cc(F)cc(OCC(F)F)c1,main
9.736469,1.3824933,4,CCOC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,main
17.549644,3.6870563,2,FC(F)OCC(F)(F)F,main
13.604969,6.957628,5,C[SiH](C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[SiH](C)C,main
8.430238,-5.790367,6,O=C1OCC(COCC(F)(F)C(F)C(F)(F)F)O1,main
17.036024,0.6006013,2,FC(C(F)(F)F)C(F)(F)OCCOCC(F)(F)F,main
16.70653,1.1341964,2,FC(OC(F)(F)F)C(F)(F)OCC(F)(F)F,main
-26.907902,4.9322104,0,COCc1ccccc1C(F)(F)F,main
10.549514,1.5514605,4,CCC[Si](OCC)(C(F)(F)F)C(F)(F)F,main
12.179837,0.28873548,4,O=C(OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,main
-22.028051,-4.66797,0,Fc1cc(C2CO2)cc(F)c1F,main
-27.081697,2.4075797,0,FC(F)(F)c1cccc2ccccc12,main
11.309383,-1.6642228,2,C[Si](C)(C)O[Si](C)(CCC(F)(F)F)O[Si](C)(C)C,main
16.92381,0.66243595,2,FC(F)(F)C(F)(F)OCCOC(F)(F)C(F)(F)F,main
-24.424225,-1.153636,0,COCc1ccc(C)c(F)c1F,main
17.525232,1.0244324,2,FC(F)(F)SCCSC(F)(F)C(F)(F)F,main
12.556172,-0.912942,4,CCOC(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,main
9.640123,1.4178126,4,FCOC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,main
-22.432175,2.6335588,0,FC(F)(F)C(F)(F)c1ccccc1,main
12.263004,1.2067719,4,CCCOC(C(F)F)(C(F)(F)F)C(F)(F)F,main
-28.188984,1.2272811,0,Fc1cccc2c(F)cccc12,main
6.6423063,-1.8801254,6,FC(F)(F)C1(C(F)(F)F)CO1,main
-25.528395,4.8293185,0,Fc1c(F)c(C(F)(F)F)c(F)c(C(F)(F)F)c1F,main
-28.207373,1.129637,0,Fc1cccc2ccccc12,main
-23.413113,1.2070154,0,Fc1ccc(C(F)(F)F)cc1F,main
5.782491,-5.1091757,6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,main
6.1445208,-1.4267002,6,FC(F)(F)C1(C(F)(F)F)CCO1,main
-24.647955,3.8529382,0,Fc1cc(C(F)(F)F)cc(C(F)(F)F)c1,main
15.279841,-0.37338346,2,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,main
7.8172526,-1.879517,6,FC(F)(F)C1CO1,main
-21.408133,0.49588665,0,COCc1cccc(C(F)(F)F)c1,main
-25.831795,2.547774,0,Fc1ccccc1C(F)(F)F,main
-25.618597,2.7406583,0,Fc1ccc(F)c(C(F)(F)F)c1,main
3.060613,-7.609588,3,FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C1(F)F,main
3.417657,-7.74006,3,FC(F)(F)C(F)(F)C(F)(F)OC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C1(F)F,main
-23.923487,1.8800244,0,Cc1cccc(C(F)(F)F)c1,main
-24.506569,1.6609962,0,Fc1cccc(C(F)(F)F)c1,main
-26.067963,3.0441601,0,Fc1cc(F)cc(C(F)(F)F)c1,main
-22.849104,0.5922477,0,Fc1ccc(C(F)(F)F)cc1,main
5.3503947,-5.1131573,6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(C(F)(F)F)OC(F)(F)C(F)(F)C1(F)F,main
5.549039,-4.134148,6,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,main
-20.48215,0.9163475,0,FC(F)(F)c1ccc(C(F)(F)F)cc1,main
-26.152935,4.0764713,0,Fc1c(F)c(F)c(C(F)(F)F)c(F)c1F,main
18.048082,4.876485,2,COCC(F)(F)F,main
17.886078,4.3529,2,CCOCC(F)(F)F,main
18.609419,5.0824037,2,COCC(F)F,main
-20.239094,1.8299181,0,FC(F)(F)c1ccc(C(F)(F)C(F)(F)F)cc1,main
16.115007,1.4465635,2,FC(F)C(F)(F)OCC(F)(F)C(F)(F)F,main
17.942904,4.5256877,2,CSCC(F)(F)F,main
16.839544,4.02891,2,CCSCC(F)(F)F,main
4.2125654,-0.6384937,1,C[Si]1(C(F)(F)F)O[Si](C)(C(F)(F)F)O[Si](C)(C(F)(F)F)O1,main
-25.731592,3.5748072,0,Fc1cc(F)c(C(F)(F)F)c(F)c1F,main
4.242283,1.7456416,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,main
13.665318,6.9289594,5,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,main
1.7080908,1.1385733,1,c1ccc([Si]2(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)cc1,main
15.544507,0.3577774,2,FC(F)(F)OC(F)(F)C(F)(F)OC(F)(F)C(F)(F)F,main
4.1339607,2.202514,1,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,main
-26.51299,1.9206728,0,Fc1cccc2c(C(F)(F)F)cccc12,main
-28.047253,3.352288,0,Fc1cc(C(F)(F)F)c2ccccc2c1,main
-26.435862,1.8662271,0,Fc1ccc2c(C(F)(F)F)cccc2c1,main
-27.536234,2.8448105,0,Fc1ccc2cccc(C(F)(F)F)c2c1,main
